lat,lon,stopId,tag,title
37.7381399,-122.5044399,13602,3602,46th Ave & Vicente St
37.7369899,-122.50541,17869,7869,47th Ave & Cutler Ave - Drop Off Only
37.7907499,-122.38984,14510,4510,Embarcadero Folsom St
37.7408899,-122.46585,17058,7058,West Portal Ave & Ulloa St
37.7361299,-122.50435,16932,6932,Wawona St & 46th Ave
37.73797,-122.50427,13603,3603,46th Ave & Vicente St
37.73983,-122.50441,13601,3601,46th Ave & Ulloa St
37.74169,-122.50453,13599,3599,46th Ave & Taraval St
37.7417999,-122.50261,16637,6637,Taraval St & 44th Ave
37.7418999,-122.50046,16635,6635,Taraval St & 42nd Ave
37.74199,-122.4983199,16633,6633,Taraval St & 40th Ave
37.7421899,-122.49451,16641,6641,Taraval St & Sunset Blvd
37.74236,-122.4897499,16629,6629,Taraval St & 32nd Ave
37.7424599,-122.48761,16627,6627,Taraval St & 30th Ave
37.74265,-122.4833199,16623,6623,Taraval St & 26th Ave
37.7428899,-122.47843,16619,6619,Taraval St & 22nd Ave
37.7429699,-122.47582,16617,6617,Taraval St & 19th Ave
37.74307,-122.4736599,16615,6615,Taraval St & 17th Ave
37.7430699,-122.4713999,13267,3267,15th Ave & Taraval St
